text,lang,company,rating
@AilesCyclables @RasLeScoot On parle de Retro Tours Paris? Qui a une page Facebook?,fr,Facebook,Irrelevant
@akasugarcane Ils étaient grave bien en plus ! Jusqu’à j’avais fais une page Facebook,fr,Facebook,Irrelevant
@AmazonHelp Bon @amazonca @AmazonHelp visiblement votre livreur est incapable de livrer cette fois le motif invoqué… https://t.co/ujvAbZRUH4,fr,Amazon,Negative
Jvous aurait bien passée mon Amazon prime pour regarder love island mais ya ma CB c'est mort,fr,Amazon,Irrelevant
"""Microsoft Announcements on Azure Artificial Intelligence"" #MachineLearning https://t.co/t91A3GpLUh",fr,Microsoft,Neutral
"@JoestarNoisette @Moowmoowgli @zoubzoub_ @ZeeDrDaft @unaberberian @NazarethGatsu T’as pas comprit , Tes argument so… https://t.co/uSjNgX8tlC",fr,Apple,Irrelevant
"#Facebook

Plus de 7 Américains sur 10 estiment que Facebook a trop de pouvoir, selon un sondage publié lundi par l… https://t.co/IJebFGKFQY",fr,Facebook,Very Negative
Le gouvernement français prévient #Facebook : Libra n’est pas la bienvenue https://t.co/i6IED8Sy1U… https://t.co/SIMFbvoa9V,fr,Facebook,Negative
"“Nous n'arrivons pas à changer les choses suivant notre désir, mais peu à peu notre désir change.”

Marcel Proust,… https://t.co/bHU5wUHPuC",fr,Amazon,Irrelevant
C’est une carte mère d’un IPhone 8+ Mdrrrr Samsung c’est une honte 😂😂😂 #Samsung #Apple #iPhone11ProMax https://t.co/7XonEp4yvG,fr,Apple,Very Negative
Le salon #GDC2020 est officiellement annulé à cause des risques sanitaires mais #Microsoft tiendra une conférence e… https://t.co/7R7TZ6YSEF,fr,Microsoft,Negative
"Que pensez-vous de la future place d'#Apple et de #Google dans le monde de la tech ?
De #SteveJobs, l'origine de la… https://t.co/SVIyp4f1z5",fr,Apple,Neutral
"3 infos #TECH que vous avez peut-être ratées :

👉 #Facebook lancera 1 campagne publicitaire gratuite pour aider… https://t.co/Ub0kYwqZh4",fr,Facebook,Positive
#Microsoft rappelle que #.NET Core 3.0 va arriver en fin de vie le 3 mars 2020 et recommande de passer à #.NET Core… https://t.co/NNufQn6cub,fr,Microsoft,Neutral
RENSEIGNEMENTS ADDITIONNELS:   https://t.co/DkH2HfBzK9 https://t.co/3aX5RI52cg,fr,Facebook,Irrelevant
"logout
#media #ModiQuitsSocialMedia #quitsocialmedia #SocialMedia #Marketing #ModiMysteryTweet #ModiHaitoMumkinHai… https://t.co/JvVg3J4eS7",fr,Facebook,Negative
Download our free app - Téléchargez gratuitement notre application - https://t.co/zFWCfDOwqe https://t.co/c8Kt6uQ0Ke,fr,Amazon,Irrelevant
"Le microcontrôleur #Azure Sphere de #Microsoft et le service de cloud computing associé sont disponibles
#IoT… https://t.co/r8oZRXCwYP",fr,Microsoft,Positive
"Cottonelle Ultra
24 Rouleaux Double = 48
↓14,99$ Meilleur Vendeur↓
https://t.co/qYHHewnELN
#amazon #amazonPrime… https://t.co/n6HEWnpC7B",fr,Amazon,Irrelevant
"#Covid_19 ou suivre une formation #Microsoft #Excel2019 ?

https://t.co/NEHI9IBV04 https://t.co/Hg6XCVSMEA",fr,Microsoft,Neutral
"@RoiDuGras @Sardoche_Lol Bon après toi tu es ka pire race de Twitter et on te dit r, force a toi pour ton retour su… https://t.co/cXOVyFpJbo",fr,Facebook,Irrelevant
Infrastructure as Code dans Azure avec Terraform &amp; Packer https://t.co/9007GJrXiq #Microsoft #Azure #Terraform #Packer avec @EtienneDinfo,fr,Microsoft,Irrelevant
"#Apple n'est pas en mesure de se passer de la Chine, d'après un rapport qui apporte de nouvelles perspectives sur l… https://t.co/bs4dYGiyeV",fr,Apple,Negative
"HSL est présentement en direct sur:

Twitch:
https://t.co/8XPT1gd85V
Youtube:
https://t.co/ag5NjFxln8
Facebook:… https://t.co/vzL6RumSas",fr,Facebook,Irrelevant
"#Microsoft apporte des améliorations à #VisualStudio Online, son outil qui propose un accès à des environnements de… https://t.co/MHZvo2UXwR",fr,Microsoft,Positive
Je voulais prendre amazon prime et bref je creer un compte adresse mail et mot de passe ça demande même pas la carte comme pour netflix hein,fr,Amazon,Neutral
"#sony va mourir
#Microsoft va mourir
#Nintendo va mourir

Elle n'a pas de jeu.
Elle est moins puissante
C'est moche… https://t.co/xgGTfKhr8D",fr,Microsoft,Very Negative
"Découvrez tous les composants d' #Azure Data Factory ! #Microsoft
Vous souhaitez aller plus loin sur Azure, contact… https://t.co/wMrU61xeLk",fr,Microsoft,Positive
"TW

Sérieux, ce montage vidéo de @JoeBiden qui touche allègrement des enfants lors de cérémonies et conférences, es… https://t.co/oCof3BJ8dF",fr,Facebook,Negative
@shutan_uzuki @T_a_n_u_k_i Il suffit de voir les notes sur Amazon... « le carton d’emballage avait une mauvaise ode… https://t.co/UpFBEGYgf0,fr,Amazon,Irrelevant
Jai + de 4000 sons sur mon tel. Merci Apple musique vrmt,fr,Apple,Very Positive
@miky_sugar Je crois que je l'ais vu sur Amazon !!!!!😭💓,fr,Amazon,Irrelevant
"#CCCMMassiveTheme 🔥
CaribbeanGospel #genre6 
🇯🇲 #MarlonAnderson
#SpiritAndTheBride
https://t.co/LqARBWosDY
https://t.co/JFkGWbNdG1",fr,Facebook,Irrelevant
une corde -&gt; mon cou https://t.co/2fHmD38NLH,fr,Apple,Irrelevant
"RÉUNION DE QUARTIER :
SAINTE THÉRÈSE - NOUVELLE VILLE - QUARTIER IMPÉRIAL -
Ce JEUDI à 18 h 30
Au ROYAL - rue gambe… https://t.co/XPh9hwJpui",fr,Facebook,Irrelevant
"#SteveWozniak, cofondateur d’#Apple, prétend être le patient 0 du #coronavirus aux Etats-Unis dans un tweet… https://t.co/StYhUDVsix",fr,Apple,Negative
attention jv crier  https://t.co/HFhu35GuCH,fr,Apple,Irrelevant
"(Amazon Echo (2ème génération), Enceinte connectée avec Alexa, Tissu gris chiné) has been published on Good News -… https://t.co/xp7fNRpbS4",fr,Amazon,Neutral
"#webinar #erp #microsoft Vous vous interrogez sur la pertinence d'évoluer vers Business Central, et souhaitez faire… https://t.co/JXqVDgbJBt",fr,Microsoft,Irrelevant
"#Facebook: Tapez mot de passe
-Moi: Mot de passe
#Facebook: votre mot de passe est incorrect.… https://t.co/6BkzFDhZX7",fr,Facebook,Very Negative
"#Amazon - #notebook Computer portatili in #offerta qui https://t.co/ZdujpixMZy

#saldo #saldi #sconto #sconti… https://t.co/hKDLKrEIMU",fr,Apple,Irrelevant
"#1Jour1Jeu Rétro de ma collection🕹

#1J1J421 : XIII

Plateforme : #Microsoft #Xbox
Support : 💿
Genre : FPS
Editeur… https://t.co/swPieQbM1A",fr,Microsoft,Irrelevant
Fonction santé : Wear OS est en retard par rapport à watchOS https://t.co/XvO5aodppH #iSoft #iPhone #Apple,fr,Apple,Irrelevant
"Merci les livreurs de @AmazonFrance pour le soin que vous apportez aux colis que vous livrez ❤️

#scandaleux… https://t.co/N8xW3Rhvw6",fr,Amazon,Very Positive
Donc Apple a été condamnée par la justice à payer 500 000 000$ pour avoir volontairement RALENTI SES ANCIENS iPHONE… https://t.co/a7rN0rnsGS,fr,Apple,Very Negative
Je vous invite à me suivre sur ma Page Facebook ChrisTec : --&gt; https://t.co/UwCpgFVYKV &lt;-- #ChrisTec #Facebook… https://t.co/UKv1n5Am6H,fr,Facebook,Irrelevant
"[WANTED] 🎯 Viens profiter de la côte basque en intégrant notre équipe Biarrote !
☀️Un cadre idéal pour profiter du… https://t.co/DynxHp3xeL",fr,Microsoft,Irrelevant
ce son c une drogue carrément  https://t.co/f4FoNnFnon,fr,Apple,Irrelevant
"Retour des cartes postales ! 💖

https://t.co/yzgWIS3PUc

#edinburgh #lydeedeco #amazon #handmade #Bishopton #bigben… https://t.co/1SieuhHQRK",fr,Amazon,Irrelevant
Configure communication compliance - Microsoft 365 Compliance | Microsoft Docs https://t.co/KWV92Tgs2s,fr,Microsoft,Neutral
"""Microsoft Announcements on Azure Artificial Intelligence"" https://t.co/ttSc3LpCrC",fr,Microsoft,Neutral
@rully_tresor La mienne dit « Tu veux publier à Facebook ? » 😂😂😭😭😭,fr,Facebook,Irrelevant
2️⃣🤖[#Tech] #Amazon est désormais capable de livrer en moins de 5h dans certaines villes https://t.co/pd12Mmzyut v/… https://t.co/ZsFPxoBcqR,fr,Amazon,Positive
"@Piel_caneIa Vite fait à Microsoft 😀, sinon il doit y avoir des petites structures naissantes à Paris et qui évolue dans le com inter",fr,Microsoft,Irrelevant
Tout savoir sur #Azure Cosmos DB ! #Microsoft #Cloud https://t.co/bFTtVCwhGH https://t.co/qg3kJp25ky,fr,Microsoft,Neutral
"Pour préparer le #8mars, on est chez #Amazon pour animer un atelier sur les stéréotypes de genre. #Teamwork #A1… https://t.co/Ki6hkz23Ki",fr,Amazon,Positive
iPhonote : Apple publie un magnifique spot japonais dédié au Mac [Vidéo] #Apple #Mac #News #Vidéos #spotjaponais https://t.co/kWcZ22A24c,fr,Apple,Positive
"Les stocks des iPad Pro sont limités, de nouveaux modèles pourraient arriver https://t.co/Bpj6qQxPVx via… https://t.co/9iEEysbKyW",fr,Apple,Neutral
"19,54 € au lieu de 22,99 € en vente flash #amazon
Pour les journées pluvieuses durant les vacances.
#gooddeal… https://t.co/h8Qxm2w2WY",fr,Amazon,Irrelevant
"Microsoft Edge prêt à devenir le 2e navigateur de bureau le plus utilisé, derrière le leader Chrome… https://t.co/NZNvdowiPQ",fr,Microsoft,Positive
Travis a bien fait de le signer https://t.co/6w5AxKtLdt,fr,Apple,Irrelevant
"[#Évènement]

Aujourd’hui c’était la journée mondiale sans #Facebook ! 🚫

Alors, qui a craqué ? 🤔 
En ce qui nous c… https://t.co/JfeKdIjirM",fr,Facebook,Very Negative
pr ceux qui voudraient écouter https://t.co/pzV34FnZYj,fr,Facebook,Irrelevant
"par @jamal_elh - Sanjay Ravi (Microsoft): ""Sans services, l'industrie auto finira comme les fabricants de smartphon… https://t.co/DX18Pw0Fqa",fr,Microsoft,Negative
"AZ-303 Microsoft #Azure Architect Technologies Certification Exam (New in 2020!)

https://t.co/QXynSjt1xz",fr,Microsoft,Irrelevant
"🎥 #BoxingHS Merci à toutes et à tous de nous avoir suivis pour ce gala de boxe de #Cabourg, que vous pouvez revivre… https://t.co/LLA9PqvgDS",fr,Facebook,Irrelevant
eSIM : 225 millions d'activations grâce à Samsung en 2020 ? https://t.co/bPmPgo2waj #iSoft #iPhone #Apple,fr,Apple,Irrelevant
"Mais dans la réalité ... tant que çà rapporte #Apple 

https://t.co/oL1uHD5Mps",fr,Apple,Neutral
Vente de médicaments : #Amazon se prépare à concurrencer les pharmacies en Europe -  https://t.co/L42aIBcbuP,fr,Amazon,Neutral
Le Salon du livre de l'Outaouais commence demain pour moi. Je vous y retrouve à partir de 13 h et pour 3 jours sur… https://t.co/nYHE9Co4Qz,fr,Facebook,Irrelevant
"@albertinette93 Pensez-vous qu'une librairie dégage du bénéfice ? Vous avez une méconnaissance de ce métier, dernie… https://t.co/g3CNZZtM70",fr,Amazon,Irrelevant
Etes-vous certifié ou à la recherche d'une certification  #Microsoft ? Vous voulez passer vos examens mais vous ne… https://t.co/Mk7fB0edXk,fr,Microsoft,Neutral
des souvenirs de buts sexuels https://t.co/tmcs7irOsb,fr,Apple,Irrelevant
Crise dans la PNH: Seul Jovenel Moise détient la solution https://t.co/dDy1S0GnLS,fr,Facebook,Irrelevant
Easy Advocacy : l’outil gratuit d’Agorapulse pour faire de vos collaborateurs vos meilleurs ambassadeurs… https://t.co/Wkzd71mkrQ,fr,Facebook,Irrelevant
"Ne fermez pas ma tombe
#BestSeller #Amazon #France #Polar #Policier 
#ETHANBUSH EST DE RETOUR AVEC UNE NOUVELLE AFF… https://t.co/pYQTCdzYQx",fr,Amazon,Irrelevant
Me lo robé de facebook 😂🤣🤭,fr,Facebook,Irrelevant
"“Histoires” de Polybe à 14,50€ sur Amazon
👉https://t.co/C4MQVQiQ5T https://t.co/oXxdOxxCh5",fr,Amazon,Irrelevant
@NTHNLS Tes sur ? Je sais que Amazon ils désinfectent les colis mais vasy flemme d’attendre 9 mois! Déjà que y’a un… https://t.co/gu3V57gV2g,fr,Amazon,Negative
"AMAZON 50% Off Code – $7.49 White Chef Toque Hat
#Deals #Amazon #Sales #BlackFriday #CyberMonday
https://t.co/r2gPndxvZR",fr,Amazon,Irrelevant
"Donc là je parle avec un gars qui préfère ( comme beaucoup de personnes ) la saloperie de Sony, que ""The masterpiec… https://t.co/7V8bTAH2nE",fr,Microsoft,Irrelevant
"@JiniusChibi C'est surtout qu'ils ont pas compté les streams d'Apple Music, Google Play, Amazon Music... Bref quelques millions en moins.",fr,Amazon,Irrelevant
@Super_Ryan_2 Oui c'était à Microsoft de valider car c'est eux qui ont l'exclu sur la licence. Il a pas dit qu'il v… https://t.co/GI62a8yWWN,fr,Microsoft,Neutral
"“Histoire romaine” de Tite-Live, suivi de “Discours sur la première décade de Tite-Live” par Machiavel à 1,99€ (for… https://t.co/Np26Mu2CgT",fr,Amazon,Irrelevant
"@edgarmorinparis Oh, votre mot 'race' me choque !

Tant que nous le dirons nous cautionnons notre animalité...… https://t.co/l8TnVt8VtY",fr,Amazon,Irrelevant
@mpkrari ok lake aussi . mais jv grave forcer pour avoir ipad et apple pencil c giga pratique pour dessiner,fr,Apple,Positive
Un ancien ingénieur logiciel de #Microsoft a été jugé aux Etats-Unis pour 18 délits fédéraux. Il lui est reproché l… https://t.co/1hSwDQdFzS,fr,Microsoft,Irrelevant
"Chacun à ses problèmes vraiment. Sur Facebook ça parle de « non à la sauce graine », sur Twitter ici du démon JP DJAH . Comme quoi",fr,Facebook,Irrelevant
"@arthur_caranta @ramir_rma @SOShomophobie : Une dernière fois :

 CETTE IMAGE a été bloquée sur #facebook en moins… https://t.co/UJQdlcfVA0",fr,Facebook,Negative
"Envolées en Italie! 💖
https://t.co/AvB1bDDcfl
#Roma #lydeedeco #amazon #handmade #bouclesdoreilles #Fridakahlo… https://t.co/5EMTZ0Gfzn",fr,Amazon,Neutral
Ptdrr j’ai mis un ti statut oklm sur Facebook .. yen a deux ils se sont pris la tête dessus en commentaire j’ai cli… https://t.co/Fhr2S5yk5q,fr,Facebook,Positive
Vida... incroyable  https://t.co/wRaAvkvBk9,fr,Apple,Irrelevant
"Tour &amp; #travel #app #onboarding #screenshot #designer

☑️https://t.co/6y2Sg5RTJJ

#WrestleMania #PokemonDay… https://t.co/F9lP6zUrlo",fr,Apple,Irrelevant
J'ai commandé 300 livres médicaux sur Amazon. Je compte les lire rapidement avant demain matin. L'objectif est d'ob… https://t.co/6nFN7arzar,fr,Amazon,Irrelevant
Comment utiliser les notes de bas de page et de fin dans Microsoft Word https://t.co/E8WDYBFVPB https://t.co/GsSHQDdqPE,fr,Microsoft,Irrelevant
#Libra : Une bonne nouvelle pour #Facebook qui a récemment enchaîné les désistements de la part de ses partenaires… https://t.co/I4sUJZWaLB,fr,Facebook,Positive
Pourquoi Amazon s’apprête-t-il à licencier 3200 employés d’ici fin avril ? https://t.co/WeU7Pqnjwa #Amazon https://t.co/TJxtZIPCMY,fr,Amazon,Positive
"Hello @Apple, c'est compliqué quand même d'acheter un mac à + de 5000 euros et de ne jamais pouvoir regarder une vi… https://t.co/BQo5zTBtOv",fr,Apple,Negative
Samsung et Microsoft travaille ensemble pour du cloud gaming dans le futur https://t.co/DampAMluG6,fr,Microsoft,Positive
"@Apple C'est chaud de se faire de telles marges de prix en profitant du travail forcé d'une minorité opprimée, on n… https://t.co/Mj9zmpuvm0",fr,Apple,Negative
"Les gens de Facebook la arrive ici oh, les gens mature la arrive ici avec leurs comportement la",fr,Facebook,Neutral
Nous vous rappelons qu'il vous suffit de cliquer sur ce lien 🌐 pour télécharger votre ebook 📕📲 de développement per… https://t.co/xqW0a2Ttg0,fr,Amazon,Irrelevant
"Aviez-vous lu cet article ? 
Localiser son smartphone Android perdu ou volé 
➡️ https://t.co/dctprLWLNN ⬅️… https://t.co/TlIoQrRI0F",fr,Apple,Irrelevant
"""Coronavirus : les événements tech annulés les uns après les autres""  https://t.co/GyqfNAhoSq #apple #feedly

Réduc… https://t.co/WW4Qx33Vcz",fr,Apple,Very Negative
Facebook annule la conférence du F8 sur les craintes du coronavirus https://t.co/kcHk74lK4b https://t.co/117KHavfTL,fr,Facebook,Very Negative
"BON PLAN #Amazon: https://t.co/ZZ5O5ti8TA

#Bosch TAS1401 Machine à Café Multi-Boissons 1300 W, Rose à 28.99€ au li… https://t.co/jvU9FqbJyQ",fr,Amazon,Neutral
"Microsoft Announcements on Azure Artificial Intelligence https://t.co/9at6UXvNar 

#Microsoft #Azure… https://t.co/rBoB4ocVdA",fr,Microsoft,Neutral
Livreur amazon si sont employeurs lui mettais pas la pression pour des délais a la con mais bon vous préférez pas a… https://t.co/hfAevbbBJ9,fr,Amazon,Neutral
"💦 𝓑𝓪𝓿𝓮 𝓭𝓮𝓿𝓪𝓷𝓽 𝓶𝓮𝓼 𝓹𝓲𝓮𝓭𝓼.💦

Admire chaque photo une minute, trois fois de suite.

Alors, tu les aimes mes chaussures… https://t.co/K9iKsiAq2n",fr,Amazon,Irrelevant
« Jeff #Bezos au secours de la #planète » — via @lemondefr #climatechange #amazon  https://t.co/WCALvGz2pP,fr,Amazon,Very Positive
"@electractu @RaquelGarridoFr D'ailleurs on peut lire le témoignage de sa maman...sur cette même page Facebook.
De r… https://t.co/1pOsPaK0Ku",fr,Facebook,Irrelevant
je vais donc noyer mon chagrin en jouant aux échecs sur playchess avec radio nostalgie Martinique qui me rapelle la… https://t.co/J3xRysPpNL,fr,Facebook,Irrelevant
"Rolala avouez je suis beau avec mes petites patounes 😎

(Source Facebook : Potterland) https://t.co/a670gp0djj",fr,Facebook,Irrelevant
"💪 L'Office de #Tourisme #amboise valorise les blogueurs locaux

❤ @JmleValdeLoire, très actif sur #facebook et… https://t.co/zt6U3Xih3Q",fr,Facebook,Irrelevant
#Apple envoie des #colis de soutien aux employés #chinois coincés par le #coronavirus (via #LePommier) https://t.co/OZ4N0Lppjk,fr,Apple,Positive
"C’est bon j’ai les nerfs, y’a pas les openings de Vampire Knight sur Apple music 💀",fr,Apple,Irrelevant
"Les screens qui vont sur Facebook , une fois arrivé où ça doit arriver , on ne pourra plus rien faire donc ré-flé-chi-ssez d’abord !",fr,Facebook,Negative
Tales from the Loop : un beau trailer pour la série S.F d’#Amazon ➡️ https://t.co/mazY0No2L6 https://t.co/AbtLhq6ZMP,fr,Amazon,Irrelevant
Comment on fait pour voir le numero de serie des air pods sur apple pour voir si c des vrais ?,fr,Apple,Irrelevant
[Vidéo] Introduction à Microsoft Azure – édition automne 2019 – partie 9 – Sécurité https://t.co/bkO402DFlP… https://t.co/nNd5gfb5VX,fr,Microsoft,Irrelevant
Apple Japan Mac anime commercial #apple https://t.co/HvAtyEC6rb,fr,Apple,Neutral
"Exploitation forcée de #Ouïgours en #Chine ?
80 000 personnes «utilisées» par 83 groupes internationaux, 27 sites.… https://t.co/oK856LOymF",fr,Apple,Very Negative
"Pour ceux qui auraient l'info, donc : Profit, série couillue et provoc des années 90, d'ailleurs annulée au bout de… https://t.co/5SR9OBm2QI",fr,Amazon,Negative
"Après les ouibus.... Les ouicars... Les ouighours!?!
Un peuple low-cost selon les autorités chinoises et les grande… https://t.co/Bw6gIYZ6MD",fr,Apple,Very Negative
4 ans après. RIP legend https://t.co/eLM6yjqOSP,fr,Apple,Irrelevant
Résidus. 🙏🏾 https://t.co/Mnm0ZvZNT8,fr,Apple,Irrelevant
"Si #Apple s’inspirait du #GalaxyZFlip, voici ce que ça pourrait donner (via #LePommier) https://t.co/tSrpMAVtvg",fr,Apple,Irrelevant
xCloud : Microsoft travaille à vous faire jouer à vos jeux PC dans le cloud → https://t.co/yRgDMIhBzk via @twandroid,fr,Microsoft,Positive
c’est bon tout le monde dors jpeux enfin avouer : mon blaz sur facebook au collège c’était « Fariidöoôx le sheiitanõoöx du 91 »,fr,Facebook,Irrelevant
"Où l’on apprend notamment que lorsque que #Zuckerberg était à Harvard, il n’avait pas hésité à hacker les e-mail de… https://t.co/4kUjWGgO3R",fr,Facebook,Negative
"Le monde selon Amazon ? Le journaliste Benoit Berthelot a mené l'enquête https://t.co/neinmF9s0U

@lecherchemidi… https://t.co/NjMZrPjzs4",fr,Amazon,Negative
[Vidéo] Introduction à Microsoft Azure (édition septembre 2019) –partie 2 – Administrer les services Azure… https://t.co/6NH38i4lSY,fr,Microsoft,Neutral
